airline,flight_number,operator_code,aircraft_type,frequency,origin,destination,effective_from,effective_to,direction,source_file
INTERGLOBE AVIATION LTD 2026,6E 524,IGO,A320N,46,BLR,IXA,02/04/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 524,IGO,A320N,25,BLR,IXA,31/03/2026,23/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 524,IGO,A320N,137,BLR,IXA,29/03/2026,21/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6383,IGO,A321,246,IXA,DEL,31/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 524,IGO,A320N,46,IXA,DIB,02/04/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 524,IGO,A320N,25,IXA,IXS,31/03/2026,23/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 524,IGO,A320N,137,IXA,IMF,29/03/2026,21/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 207,IGO,A320N,1234567,CCU,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 572,IGO,A320N,3,CCU,IXA,01/04/2026,21/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 394,IGO,A320N,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6204,IGO,A320N,3,IXA,DIB,01/04/2026,21/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 2513,IGO,A320N,6,CCU,IXA,04/04/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 994,IGO,A321,1234567,CCU,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6413,IGO,A320N,6,IXA,GAU,04/04/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 525,IGO,A320N,25,IXS,IXA,31/03/2026,23/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 525,IGO,A320N,137,IMF,IXA,29/03/2026,21/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6724,IGO,A321,1234567,IXA,GAU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 525,IGO,A320N,46,DIB,IXA,02/04/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6503,IGO,A320N,1234567,DEL,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 525,IGO,A320N,25,IXA,BLR,31/03/2026,23/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 525,IGO,A320N,137,IXA,BLR,29/03/2026,21/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 525,IGO,A320N,46,IXA,BLR,02/04/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6504,IGO,A320N,1234567,IXA,DEL,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 485,IGO,A320N,1234567,CCU,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6069,IGO,A320N,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6173,IGO,A321,1234567,CCU,IXA,29/03/2026,24/10/2026,arrival,INTERGLOBE AVIATION LTD_2026.pdf
INTERGLOBE AVIATION LTD 2026,6E 6705,IGO,A321,1234567,IXA,CCU,29/03/2026,24/10/2026,departure,INTERGLOBE AVIATION LTD_2026.pdf
Just Udo Aviation,IC 5301,GOA,ATR 72,1234567,SDW,BLR,29/03/2026,24/10/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 5302,GOA,ATR 72,1234567,BLR,SDW,29/03/2026,24/10/2026,departure,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
Just Udo Aviation,IC 3411,GOA,ATR 72,1234567,HBX,BLR,05/04/2026,14/04/2026,arrival,JUSTUDOAVIATIONPVTLTD_SS_2026.pdf
